id,label,pc1
0,1,3.2379584865703452
1,1,-1.2490808141045315
2,1,-1.1773480498033866
3,1,-1.0864909180639946
4,1,-1.2960376359827357
5,1,2.687738100347552
6,1,2.835263945782639
7,3,3.1054980465427504
8,2,3.0923486349870375
9,1,3.376514641600669
10,0,-1.0544398640119448
11,1,-5.763622471250629
12,0,-0.978833073048036
13,0,-5.4681076592239695
14,1,-1.178219889882113
15,3,-5.084032496661982
16,1,2.624343616221414
17,3,2.401347469395738
18,1,3.3603310669108946
19,1,3.1958295910731285
20,2,-5.960188355349158
21,0,-1.0871861938454086
22,1,2.747553675175699
23,1,2.976784282470243
24,1,-1.2849476448933628
25,1,-1.2127380408957862
26,2,3.0580012409022075
27,3,3.423940446713306
28,1,-1.2281628722624225
29,0,3.4001836677091983
30,1,-1.0553996774041559
31,1,3.303140230013406
32,2,2.7194004918936137
33,0,-5.622639245280874
34,1,2.640581690462064
35,1,-1.2552282413775293
36,3,-1.238931885132277
37,1,2.5186649995271075
38,3,-0.9885688582991907
39,1,-5.6122158986605335
40,2,-5.825545683257719
41,3,2.8300656178597294
42,1,3.3415181110200054
43,0,-1.1056413124176105
44,1,3.1611152956794597
45,2,-5.561785132120449
46,0,-0.8278072791902045
47,1,3.072934694104025
48,0,2.982310131857087
49,1,-6.163125458953388
50,1,-1.206822676711212
51,3,-5.275358748631667
52,1,2.5739764971618975
53,1,-5.540051936247768
54,2,3.178305964704479
55,1,-1.1142301596584665
56,2,-1.071487908047401
57,1,-1.0317425834745428
58,3,-5.596588926873572
59,3,3.2766821844142724
60,1,-1.1688662258290012
61,1,2.665986255055025
62,3,2.6568903664463823
63,1,-5.3294458423228495
64,1,-1.1954787163505083
65,0,-5.625761853345518
66,0,-0.9612572230425173
67,1,-5.520607351152503
68,1,2.678702570011214
69,1,3.253884557383008
70,1,-1.234697362986981
71,2,3.1229033651213967
72,1,-1.2129156969634691
73,2,3.1029653880362704
74,3,-5.671283812606392
75,2,3.0731882166569586
76,1,2.670557011435874
77,1,-1.1100633187499913
78,1,-1.208545358937093
79,1,-1.1963009574185333
80,2,2.6536718933198267
81,3,-5.560191709608096
82,1,3.0867339855825735
83,1,2.8193770740355117
84,0,2.900580044970842
85,1,3.122882427369742
86,1,2.899137480961723
87,1,-1.121509018656286
88,0,2.54165882781347
89,2,2.7334685681241218
90,2,-5.564837490291194
91,1,2.9462878692893937
92,1,2.884914446945074
93,2,2.9668021889558145
94,1,-5.379127882508187
95,0,-5.679261131227275
96,1,3.2028499433661177
97,0,3.1340258972739274
98,1,-1.0614264579429291
99,1,2.9371353388656547
100,3,3.2091932619012273
101,3,-5.441927771662385
102,3,2.832110267491347
103,1,2.5997723965696924
104,3,-1.2657058028914179
105,1,-6.048416703258627
106,2,3.122415897941391
107,2,3.1109994828194942
108,2,2.8564667773837256
109,1,3.145365860833026
110,1,-1.2017552545720012
111,1,2.292091326853946
112,1,-1.2827038955761136
113,1,3.131782400221473
114,2,-6.1896271671196965
115,2,-5.3745561847947725
116,0,-1.034485734981542
117,2,-1.1546480709013642
118,2,-1.226191595946082
119,3,2.75066112715884
120,1,-5.792829144528879
121,1,3.03106710452979
122,1,-1.2173647579577105
123,1,-1.3006142063689585
124,1,3.0819973053707526
125,0,2.82597874320214
126,1,-1.2202698927321172
127,2,-1.1541489569152323
128,0,-5.508163868000037
129,0,-1.0513682500205597
130,1,-1.062942439068106
131,1,-1.243232681912407
132,0,-0.9719530964599775
133,3,-5.403480748266354
134,2,-1.122380034460919
135,0,3.0648135314776
136,1,2.750653698270576
137,1,3.3493578026258284
138,2,2.794149761215994
139,1,-5.729295450867914
140,1,-1.1134940034359997
141,1,3.1144611304033516
142,2,3.0703997080410455
143,1,3.1124039613439165
144,0,-1.10974199269184
145,1,-1.2933097312765807
146,2,-5.768303129295655
147,1,2.9400842763106656
148,0,3.3581190574433224
149,0,-0.9598159102664328
150,1,-1.2522016555407178
151,1,-1.1317883206594952
152,1,-1.2304547595248325
153,0,-0.9605509551335524
154,0,-5.784247402813788
155,1,-1.1260292024856369
156,1,-1.167379750565835
