0_precision;0_recall;0_f1-score;0_support;1_precision;1_recall;1_f1-score;1_support;2_precision;2_recall;2_f1-score;2_support;3_precision;3_recall;3_f1-score;3_support;accuracy;macro_avg_precision;macro_avg_recall;macro_avg_f1-score;macro_avg_support;weighted_avg_precision;weighted_avg_recall;weighted_avg_f1-score;weighted_avg_support;macro_f1;model;k;C;class_weight;n_estimators;max_depth;min_samples_leaf;learning_rate;num_features_removed;features_removed;num_classes;subsample;colsample_bytree;task
0.668141593;0.526132404;0.588693957;287;0.734995383;0.868047983;0.796;917;0.608414239;0.578461538;0.593059937;325;0.60989011;0.409594096;0.490066225;271;0.692222222;0.655360331;0.595559005;0.61695503;1800;0.682645695;0.692222222;0.680244218;1800;0.61695503;XGBoost;;;;500;8;;0.05;;;4;0.6;1;multiclass
0.674107143;0.526132404;0.590998043;287;0.72965642;0.880043621;0.797825012;917;0.630508475;0.572307692;0.6;325;0.605714286;0.391143911;0.475336323;271;0.694444444;0.659996581;0.592406907;0.616039845;1800;0.684237507;0.694444444;0.680576732;1800;0.616039845;XGBoost;;;;400;8;;0.01;;;4;0.8;1;multiclass
0.671171171;0.519163763;0.58546169;287;0.727029438;0.888767721;0.799803729;917;0.636054422;0.575384615;0.604200323;325;0.63190184;0.380073801;0.474654378;271;0.696666667;0.666539218;0.590847475;0.61603003;1800;0.687375115;0.696666667;0.681357759;1800;0.61603003;XGBoost;;;;300;8;;0.01;;;4;0.8;1;multiclass
0.656779661;0.540069686;0.592734226;287;0.733826248;0.865866957;0.794397199;917;0.622073579;0.572307692;0.596153846;325;0.595628415;0.402214022;0.480176211;271;0.691111111;0.652076976;0.59511459;0.61586537;1800;0.680557581;0.691111111;0.679141504;1800;0.61586537;XGBoost;;;;300;7;;0.05;;;4;0.8;1;multiclass
0.654867257;0.515679443;0.576998051;287;0.740671642;0.865866957;0.798391151;917;0.609677419;0.581538462;0.595275591;325;0.59375;0.420664207;0.492440605;271;0.691666667;0.649741579;0.595937267;0.615776349;1800;0.681219005;0.691666667;0.680355054;1800;0.615776349;XGBoost;;;;300;8;;0.1;;;4;0.6;0.8;multiclass
0.678899083;0.515679443;0.586138614;287;0.729166667;0.877862595;0.796635329;917;0.60130719;0.566153846;0.583201268;325;0.627906977;0.398523985;0.48758465;271;0.691666667;0.659319979;0.589554967;0.613389965;1800;0.682820832;0.691666667;0.678006795;1800;0.613389965;XGBoost;;;;200;8;;0.05;;;4;0.8;0.8;multiclass
0.647058824;0.536585366;0.586666667;287;0.73271028;0.854961832;0.789129341;917;0.606557377;0.569230769;0.587301587;325;0.598930481;0.413284133;0.489082969;271;0.686111111;0.646314241;0.593515525;0.613045141;1800;0.676134732;0.686111111;0.675233022;1800;0.613045141;XGBoost;;;;300;7;;0.1;;;4;0.8;1;multiclass
0.656652361;0.533101045;0.588461538;287;0.731884058;0.881134133;0.799604156;917;0.62244898;0.563076923;0.591276252;325;0.615384615;0.383763838;0.472727273;271;0.693333333;0.656592503;0.590268985;0.613017305;1800;0.682590032;0.693333333;0.679110748;1800;0.613017305;XGBoost;;;;100;8;;0.05;;;4;0.8;1;multiclass
0.653679654;0.526132404;0.583011583;287;0.731439047;0.870229008;0.794820717;917;0.62;0.572307692;0.5952;325;0.601123596;0.394833948;0.476614699;271;0.69;0.651560574;0.590875763;0.61241175;1800;0.679300089;0.69;0.677098614;1800;0.61241175;XGBoost;;;;200;7;;0.05;;;4;0.8;1;multiclass
0.652542373;0.536585366;0.588910134;287;0.725965858;0.881134133;0.796059113;917;0.642361111;0.569230769;0.603588907;325;0.613496933;0.36900369;0.460829493;271;0.692777778;0.658591569;0.58898849;0.612346912;1800;0.682230768;0.692777778;0.677808113;1800;0.612346912;XGBoost;;;;100;7;;0.05;;;4;0.8;1;multiclass
0.659292035;0.519163763;0.580896686;287;0.729166667;0.877862595;0.796635329;917;0.62244898;0.563076923;0.591276252;325;0.607954545;0.394833948;0.478747204;271;0.691111111;0.654715557;0.588734307;0.611888868;1800;0.680507915;0.691111111;0.677298455;1800;0.611888868;XGBoost;;;;500;8;;0.01;;;4;0.8;1;multiclass
0.675555556;0.529616725;0.59375;287;0.725791855;0.874591058;0.793273986;917;0.617449664;0.566153846;0.590690209;325;0.604651163;0.383763838;0.469525959;271;0.69;0.655862059;0.588531367;0.611810039;1800;0.679981768;0.69;0.676141305;1800;0.611810039;XGBoost;;;;100;7;;0.1;;;4;0.8;0.8;multiclass
0.671171171;0.519163763;0.58546169;287;0.732484076;0.877862595;0.798611111;917;0.598684211;0.56;0.578696343;325;0.617142857;0.398523985;0.484304933;271;0.691111111;0.654870579;0.588887586;0.611768519;1800;0.681184504;0.691111111;0.677598246;1800;0.611768519;XGBoost;;;;300;8;;0.05;;;4;0.8;0.8;multiclass
0.659388646;0.526132404;0.585271318;287;0.73132969;0.87568157;0.797022333;917;0.610738255;0.56;0.584269663;325;0.611428571;0.394833948;0.479820628;271;0.690555556;0.653221291;0.589161981;0.611595985;1800;0.680033857;0.690555556;0.677089654;1800;0.611595985;XGBoost;;;;600;8;;0.01;;;4;0.8;1;multiclass
0.656108597;0.505226481;0.570866142;287;0.736162362;0.870229008;0.797601199;917;0.606557377;0.569230769;0.587301587;325;0.594736842;0.41697417;0.490238612;271;0.689444444;0.648391295;0.590415107;0.611501885;1800;0.678704936;0.689444444;0.677203646;1800;0.611501885;XGBoost;;;;200;8;;0.1;;;4;0.6;0.8;multiclass
