0_precision;0_recall;0_f1-score;1_precision;1_recall;1_f1-score;2_precision;2_recall;2_f1-score;3_precision;3_recall;3_f1-score;accuracy;macro_f1;model;n_estimators;max_depth;min_samples_leaf;class_weight;removed_features;num_features
0.685714286;0.503496503;0.580645161;0.719892953;0.880043621;0.791952895;0.59807074;0.572307692;0.58490566;0.626582278;0.363970588;0.460465116;0.686666667;0.604492208;RandomForest;400;;1;;feature_3,feature_7,feature_8;9
0.668292683;0.479020979;0.558044807;0.71657754;0.876772083;0.788621873;0.601328904;0.556923077;0.57827476;0.63372093;0.400735294;0.490990991;0.683888889;0.603983108;RandomForest;400;;1;;feature_2,feature_3,feature_8;9
0.661538462;0.451048951;0.536382536;0.707718994;0.889858233;0.788405797;0.627986348;0.566153846;0.595469256;0.660377358;0.386029412;0.487238979;0.685555556;0.601874142;RandomForest;400;;1;;feature_3,feature_11;10
0.692307692;0.472027972;0.561330561;0.713541667;0.896401309;0.794586757;0.602006689;0.553846154;0.576923077;0.655844156;0.371323529;0.474178404;0.687777778;0.6017547;RandomForest;400;;1;;feature_8,feature_11;10
0.668393782;0.451048951;0.538622129;0.71754386;0.892039258;0.795333009;0.598705502;0.569230769;0.583596215;0.664556962;0.386029412;0.488372093;0.687222222;0.601480862;RandomForest;400;;1;;feature_2,feature_7,feature_11;9
0.661691542;0.465034965;0.546201232;0.720070423;0.892039258;0.796882611;0.607594937;0.590769231;0.599063963;0.659863946;0.356617647;0.46300716;0.688888889;0.601288741;RandomForest;400;;1;;feature_7,feature_11;10
0.659793814;0.447552448;0.533333333;0.710157618;0.884405671;0.787761049;0.617363344;0.590769231;0.603773585;0.666666667;0.375;0.48;0.685;0.601216992;RandomForest;400;;1;;feature_3,feature_7,feature_11;9
0.648780488;0.465034965;0.541751527;0.713908451;0.884405671;0.790063322;0.617161716;0.575384615;0.595541401;0.653846154;0.375;0.476635514;0.685;0.600997941;RandomForest;400;;1;;feature_3;11
0.651960784;0.465034965;0.542857143;0.714535902;0.889858233;0.792617776;0.616666667;0.569230769;0.592;0.655844156;0.371323529;0.474178404;0.686111111;0.600413331;RandomForest;400;;1;;feature_7,feature_9,feature_11;9
0.675;0.472027972;0.555555556;0.715547703;0.883315158;0.790629575;0.608552632;0.569230769;0.588235294;0.615853659;0.371323529;0.463302752;0.683888889;0.599430794;RandomForest;400;;1;;feature_3,feature_8;10
0.684210526;0.454545455;0.546218487;0.706911636;0.881134133;0.784466019;0.613793103;0.547692308;0.578861789;0.615819209;0.400735294;0.485523385;0.680555556;0.59876742;RandomForest;400;;1;;feature_3,feature_8,feature_11;9
0.620192308;0.451048951;0.522267206;0.715411559;0.890948746;0.793589121;0.627118644;0.569230769;0.596774194;0.664516129;0.378676471;0.482435597;0.685555556;0.59876653;RandomForest;400;;1;;feature_2,feature_3;10
0.634703196;0.486013986;0.55049505;0.72128228;0.883315158;0.794117647;0.6;0.553846154;0.576;0.64556962;0.375;0.474418605;0.683888889;0.598757825;RandomForest;400;;1;;feature_0,feature_7,feature_8;9
0.660287081;0.482517483;0.557575758;0.713527851;0.880043621;0.788085938;0.601286174;0.575384615;0.588050314;0.651006711;0.356617647;0.460807601;0.682777778;0.598629903;RandomForest;400;;1;;feature_7,feature_8;10
0.67;0.468531469;0.551440329;0.710526316;0.883315158;0.787554691;0.597402597;0.566153846;0.58135861;0.651315789;0.363970588;0.466981132;0.681666667;0.596833691;RandomForest;400;;1;;feature_7,feature_8,feature_11;9
0.63592233;0.458041958;0.532520325;0.714412025;0.881134133;0.7890625;0.612903226;0.584615385;0.598425197;0.647058824;0.363970588;0.465882353;0.682222222;0.596472594;RandomForest;400;;1;;feature_3,feature_7;10
0.653658537;0.468531469;0.545824847;0.715289982;0.887677208;0.792214112;0.613861386;0.572307692;0.592356688;0.62987013;0.356617647;0.455399061;0.683888889;0.596448677;RandomForest;400;;1;;feature_2;11
0.653266332;0.454545455;0.536082474;0.712280702;0.885496183;0.789499271;0.603333333;0.556923077;0.5792;0.645962733;0.382352941;0.480369515;0.681666667;0.596287815;RandomForest;400;;1;;feature_2,feature_8,feature_11;9
0.647342995;0.468531469;0.543610548;0.713777778;0.87568157;0.786483839;0.603174603;0.584615385;0.59375;0.640522876;0.360294118;0.461176471;0.680555556;0.596255214;RandomForest;400;;1;;feature_3,feature_4;10
0.664948454;0.451048951;0.5375;0.707149009;0.895310796;0.790182868;0.606666667;0.56;0.5824;0.682758621;0.363970588;0.474820144;0.683888889;0.596225753;RandomForest;400;;1;;feature_11;11
0.653465347;0.461538462;0.540983607;0.714791851;0.880043621;0.788856305;0.585987261;0.566153846;0.575899844;0.658064516;0.375;0.477751756;0.680555556;0.595872878;RandomForest;400;;1;;feature_2,feature_8;10
0.657142857;0.482517483;0.556451613;0.713035871;0.888767721;0.791262136;0.592592593;0.541538462;0.565916399;0.66;0.363970588;0.469194313;0.682222222;0.595706115;RandomForest;400;;1;;feature_8;11
0.607476636;0.454545455;0.52;0.714788732;0.885496183;0.791037506;0.629370629;0.553846154;0.589198036;0.640243902;0.386029412;0.481651376;0.681666667;0.59547173;RandomForest;400;;1;;feature_0,feature_2,feature_3;9
0.669950739;0.475524476;0.556237219;0.722869955;0.878953108;0.793307087;0.581761006;0.569230769;0.575427683;0.603658537;0.363970588;0.45412844;0.681111111;0.594775107;RandomForest;400;;1;;feature_2,feature_7,feature_8;9
